Time	Open	High	Low	Close	Volume
2021-05-03 13:55:00	0.86726	0.86741	0.86676	0.86708	685
2021-05-03 14:00:00	0.86708	0.8676	0.86687	0.86698	1205
2021-05-03 14:05:00	0.86699	0.86707	0.86658	0.8668	877
2021-05-03 14:10:00	0.86679	0.867	0.86669	0.86693	592
2021-05-03 14:15:00	0.86697	0.86717	0.86689	0.86706	641
2021-05-03 14:20:00	0.86706	0.8672	0.8669	0.86699	565
2021-05-03 14:25:00	0.86698	0.86707	0.86677	0.86684	465
2021-05-03 14:30:00	0.86682	0.86722	0.86679	0.86709	667
2021-05-03 14:35:00	0.8671	0.8672	0.86698	0.8672	446
2021-05-03 14:40:00	0.86719	0.86722	0.86699	0.86717	354
2021-05-03 14:45:00	0.86719	0.86729	0.867	0.86701	420
2021-05-03 14:50:00	0.86702	0.86707	0.86671	0.86684	568
2021-05-03 14:55:00	0.86686	0.86718	0.86676	0.86682	877
2021-05-03 15:00:00	0.86682	0.86699	0.86677	0.86693	646
2021-05-03 15:05:00	0.86694	0.86713	0.86686	0.86708	447
2021-05-03 15:10:00	0.86705	0.86723	0.86696	0.86702	591
2021-05-03 15:15:00	0.86701	0.86703	0.86676	0.86697	451
2021-05-03 15:20:00	0.86697	0.86711	0.86693	0.86703	279
2021-05-03 15:25:00	0.86704	0.86711	0.86684	0.86694	304
2021-05-03 15:30:00	0.86695	0.86698	0.8667	0.86671	327
2021-05-03 15:35:00	0.86671	0.86684	0.86662	0.86678	211
2021-05-03 15:40:00	0.86679	0.86697	0.86678	0.86683	256
2021-05-03 15:45:00	0.86681	0.86693	0.86674	0.86688	211
2021-05-03 15:50:00	0.86687	0.86704	0.86684	0.86698	227
2021-05-03 15:55:00	0.86697	0.86701	0.86678	0.86678	195
2021-05-03 16:00:00	0.86677	0.86705	0.86677	0.86703	275
2021-05-03 16:05:00	0.86704	0.86704	0.86686	0.86693	201
2021-05-03 16:10:00	0.86692	0.86698	0.86687	0.86694	208
2021-05-03 16:15:00	0.86693	0.86697	0.86683	0.86686	176
2021-05-03 16:20:00	0.86685	0.86694	0.86673	0.86673	198
2021-05-03 16:25:00	0.86674	0.86687	0.86668	0.86685	172
2021-05-03 16:30:00	0.86687	0.86687	0.8666	0.86661	173
2021-05-03 16:35:00	0.86662	0.86673	0.86655	0.86673	147
2021-05-03 16:40:00	0.86673	0.86677	0.8666	0.86675	169
2021-05-03 16:45:00	0.86676	0.86679	0.8666	0.86666	242
2021-05-03 16:50:00	0.8667	0.86698	0.86665	0.86693	301
2021-05-03 16:55:00	0.86693	0.86694	0.86656	0.86663	778
2021-05-03 17:00:00	0.86662	0.86665	0.86645	0.86654	369
2021-05-03 17:05:00	0.86653	0.86674	0.86653	0.86669	132
2021-05-03 17:10:00	0.86669	0.86692	0.86665	0.86686	206
2021-05-03 17:15:00	0.86687	0.86687	0.8667	0.86677	216
2021-05-03 17:20:00	0.86677	0.86685	0.86676	0.86681	321
2021-05-03 17:25:00	0.86681	0.86684	0.86675	0.86683	213
2021-05-03 17:30:00	0.86682	0.86696	0.86682	0.86696	246
2021-05-03 17:35:00	0.86694	0.86702	0.86688	0.86697	277
2021-05-03 17:40:00	0.86696	0.86717	0.86695	0.86715	193
2021-05-03 17:45:00	0.86715	0.86718	0.86709	0.8671	108
2021-05-03 17:50:00	0.86708	0.86713	0.86707	0.86711	64
2021-05-03 17:55:00	0.86712	0.86721	0.86711	0.86717	57
2021-05-03 18:00:00	0.86716	0.86716	0.86705	0.86705	112
2021-05-03 18:05:00	0.86707	0.86713	0.86705	0.86713	77
2021-05-03 18:10:00	0.86713	0.86723	0.86711	0.86721	137
2021-05-03 18:15:00	0.86721	0.86734	0.86716	0.86717	166
2021-05-03 18:20:00	0.86716	0.8673	0.86712	0.86724	206
2021-05-03 18:25:00	0.86727	0.86732	0.86722	0.86731	121
2021-05-03 18:30:00	0.86728	0.86744	0.86728	0.86738	257
2021-05-03 18:35:00	0.86738	0.86749	0.86738	0.86743	151
2021-05-03 18:40:00	0.86742	0.86748	0.86735	0.86738	180
2021-05-03 18:45:00	0.86739	0.86745	0.86736	0.8674	155
2021-05-03 18:50:00	0.86741	0.86741	0.86725	0.86731	244
2021-05-03 18:55:00	0.86731	0.86732	0.86716	0.86722	314
2021-05-03 19:00:00	0.86721	0.86733	0.86719	0.86719	221
2021-05-03 19:05:00	0.8672	0.86724	0.86712	0.86718	151
2021-05-03 19:10:00	0.86718	0.86737	0.86718	0.86733	130
2021-05-03 19:15:00	0.86732	0.86735	0.86722	0.86725	122
2021-05-03 19:20:00	0.86728	0.86732	0.86722	0.86731	66
2021-05-03 19:25:00	0.86729	0.8673	0.86711	0.86716	114
2021-05-03 19:30:00	0.86715	0.86734	0.86715	0.8673	80
2021-05-03 19:35:00	0.86729	0.86732	0.86726	0.8673	70
2021-05-03 19:40:00	0.8673	0.86732	0.86718	0.8672	103
2021-05-03 19:45:00	0.86721	0.86738	0.86716	0.86731	129
2021-05-03 19:50:00	0.86732	0.86745	0.86729	0.86741	188
2021-05-03 19:55:00	0.8674	0.8675	0.8674	0.86742	240
2021-05-03 20:00:00	0.8674	0.86747	0.8673	0.86733	245
2021-05-03 20:05:00	0.86732	0.86746	0.86732	0.8674	54
2021-05-03 20:10:00	0.86741	0.86743	0.86736	0.86738	57
2021-05-03 20:15:00	0.8674	0.8674	0.86733	0.86733	56
2021-05-03 20:20:00	0.86735	0.86741	0.86732	0.86739	27
2021-05-03 20:25:00	0.86739	0.8674	0.86732	0.86738	63
2021-05-03 20:30:00	0.86734	0.86735	0.86727	0.86728	50
2021-05-03 20:35:00	0.86728	0.86732	0.86728	0.86731	26
2021-05-03 20:40:00	0.86731	0.86733	0.8672	0.86723	57
2021-05-03 20:45:00	0.86722	0.86724	0.86714	0.86715	99
2021-05-03 20:50:00	0.86716	0.86733	0.86714	0.86718	515
2021-05-03 20:55:00	0.86718	0.86728	0.86707	0.8671	1041
2021-05-03 21:00:00	0.86707	0.86734	0.86702	0.86717	12
2021-05-03 21:05:00	0.86716	0.86717	0.86715	0.86717	11
2021-05-03 21:10:00	0.86721	0.86721	0.86717	0.86717	2
2021-05-03 21:15:00	0.86713	0.86739	0.86702	0.86725	10
2021-05-03 21:20:00	0.86728	0.86729	0.86717	0.86725	10
2021-05-03 21:25:00	0.86728	0.86734	0.8665	0.86711	48
2021-05-03 21:30:00	0.86709	0.86712	0.86709	0.86711	4
2021-05-03 21:35:00	0.86708	0.86714	0.86708	0.86714	7
