Time	Open	High	Low	Close	Volume
2021-05-04 00:05:00	1.0992	1.09937	1.09919	1.09935	243
2021-05-04 00:10:00	1.09935	1.09948	1.09931	1.09937	190
2021-05-04 00:15:00	1.09937	1.09941	1.09928	1.09931	159
2021-05-04 00:20:00	1.09929	1.09947	1.09928	1.09945	81
2021-05-04 00:25:00	1.09944	1.09952	1.09944	1.09947	71
2021-05-04 00:30:00	1.09947	1.09955	1.09938	1.09942	118
2021-05-04 00:35:00	1.09941	1.09948	1.09941	1.09946	83
2021-05-04 00:40:00	1.09946	1.09964	1.09944	1.09964	106
2021-05-04 00:45:00	1.09964	1.09964	1.09945	1.09948	124
2021-05-04 00:50:00	1.09948	1.09953	1.09947	1.09953	43
2021-05-04 00:55:00	1.09953	1.09953	1.09953	1.09953	55
2021-05-04 01:00:00	1.09953	1.09957	1.09948	1.09956	138
2021-05-04 01:05:00	1.09956	1.09959	1.09953	1.09955	74
2021-05-04 01:10:00	1.09955	1.09956	1.09949	1.09955	49
2021-05-04 01:15:00	1.0996	1.09962	1.09957	1.09958	26
2021-05-04 01:20:00	1.09958	1.09959	1.09951	1.09953	68
2021-05-04 01:25:00	1.09954	1.09957	1.09942	1.09944	44
2021-05-04 01:30:00	1.09945	1.09945	1.09938	1.09939	67
2021-05-04 01:35:00	1.09939	1.09949	1.09929	1.09948	322
2021-05-04 01:40:00	1.09948	1.09958	1.09948	1.0995	272
2021-05-04 01:45:00	1.0995	1.0995	1.09944	1.09948	105
2021-05-04 01:50:00	1.09947	1.09952	1.0994	1.09943	59
2021-05-04 01:55:00	1.09944	1.09957	1.09942	1.0995	107
2021-05-04 02:00:00	1.09951	1.09972	1.09947	1.09971	318
2021-05-04 02:05:00	1.09967	1.0997	1.09966	1.09969	64
2021-05-04 02:10:00	1.09968	1.09971	1.09967	1.0997	76
2021-05-04 02:15:00	1.0997	1.09972	1.09965	1.0997	113
2021-05-04 02:20:00	1.0997	1.09973	1.09967	1.0997	78
2021-05-04 02:25:00	1.09969	1.09972	1.09966	1.09967	125
2021-05-04 02:30:00	1.09967	1.0997	1.09965	1.09967	141
2021-05-04 02:35:00	1.0997	1.09996	1.0997	1.09993	248
2021-05-04 02:40:00	1.09993	1.10001	1.09987	1.0999	184
2021-05-04 02:45:00	1.09989	1.10021	1.09978	1.1001	237
2021-05-04 02:50:00	1.10009	1.10011	1.1	1.10006	89
2021-05-04 02:55:00	1.10006	1.10007	1.09988	1.09997	134
2021-05-04 03:00:00	1.09995	1.10032	1.09994	1.10026	70
2021-05-04 03:05:00	1.10027	1.10029	1.10026	1.10029	15
2021-05-04 03:10:00	1.10026	1.10029	1.10012	1.10012	74
2021-05-04 03:15:00	1.10014	1.10018	1.09995	1.10006	118
2021-05-04 03:20:00	1.10007	1.10015	1.10003	1.10014	86
2021-05-04 03:25:00	1.10014	1.10014	1.10011	1.10013	60
2021-05-04 03:30:00	1.10013	1.10013	1.10003	1.10011	98
2021-05-04 03:35:00	1.10011	1.10024	1.10011	1.10016	93
2021-05-04 03:40:00	1.10017	1.10018	1.10009	1.10013	112
2021-05-04 03:45:00	1.10014	1.10014	1.10006	1.10011	103
2021-05-04 03:50:00	1.10011	1.10028	1.10009	1.10026	70
2021-05-04 03:55:00	1.10027	1.10069	1.10026	1.10069	106
2021-05-04 04:00:00	1.10069	1.10072	1.10057	1.10057	167
2021-05-04 04:05:00	1.10059	1.1006	1.10052	1.10057	91
2021-05-04 04:10:00	1.10056	1.10058	1.10056	1.10058	20
2021-05-04 04:15:00	1.10061	1.10062	1.10057	1.1006	125
2021-05-04 04:20:00	1.1006	1.10074	1.1006	1.10074	94
2021-05-04 04:25:00	1.10073	1.10077	1.1007	1.10071	177
2021-05-04 04:30:00	1.10071	1.10076	1.10053	1.10055	422
2021-05-04 04:35:00	1.10055	1.10057	1.1005	1.10054	96
2021-05-04 04:40:00	1.10054	1.10069	1.10054	1.10064	42
2021-05-04 04:45:00	1.10063	1.10083	1.10059	1.1008	100
2021-05-04 04:50:00	1.1008	1.10084	1.10072	1.10078	62
2021-05-04 04:55:00	1.10079	1.10103	1.10076	1.10103	107
2021-05-04 05:00:00	1.10104	1.10104	1.10074	1.10076	168
2021-05-04 05:05:00	1.10077	1.10078	1.10059	1.10067	244
2021-05-04 05:10:00	1.10066	1.10066	1.10044	1.10046	191
2021-05-04 05:15:00	1.10046	1.10051	1.10042	1.10043	153
2021-05-04 05:20:00	1.10042	1.10054	1.10035	1.10037	272
2021-05-04 05:25:00	1.10038	1.10052	1.10038	1.10047	115
2021-05-04 05:30:00	1.10047	1.10057	1.10045	1.10048	68
2021-05-04 05:35:00	1.10049	1.10075	1.10048	1.10068	77
2021-05-04 05:40:00	1.10067	1.10067	1.10056	1.10064	69
2021-05-04 05:45:00	1.10065	1.10068	1.10061	1.10062	78
2021-05-04 05:50:00	1.10061	1.10076	1.10061	1.10076	54
2021-05-04 05:55:00	1.10077	1.10084	1.10074	1.10081	133
2021-05-04 06:00:00	1.10081	1.10083	1.10063	1.10082	524
2021-05-04 06:05:00	1.1008	1.10091	1.10076	1.10089	349
2021-05-04 06:10:00	1.1009	1.10106	1.10084	1.10105	273
2021-05-04 06:15:00	1.10105	1.10105	1.10057	1.10062	393
2021-05-04 06:20:00	1.10062	1.10065	1.10047	1.10058	247
2021-05-04 06:25:00	1.10057	1.10066	1.10042	1.1006	195
2021-05-04 06:30:00	1.10059	1.10068	1.10039	1.10044	274
2021-05-04 06:35:00	1.10042	1.10048	1.10019	1.10019	194
2021-05-04 06:40:00	1.10019	1.10032	1.10004	1.10024	276
2021-05-04 06:45:00	1.10024	1.10046	1.10023	1.10024	294
2021-05-04 06:50:00	1.10023	1.10029	1.09984	1.10004	508
2021-05-04 06:55:00	1.10004	1.10007	1.09966	1.09971	493
2021-05-04 07:00:00	1.09972	1.10004	1.09957	1.10001	494
2021-05-04 07:05:00	1.1	1.10004	1.09921	1.09921	423
2021-05-04 07:10:00	1.09921	1.09945	1.09907	1.09945	439
2021-05-04 07:15:00	1.09946	1.09974	1.09931	1.09948	480
2021-05-04 07:20:00	1.09948	1.09957	1.09926	1.09927	223
2021-05-04 07:25:00	1.09927	1.09957	1.0989	1.0993	443
2021-05-04 07:30:00	1.09929	1.09929	1.09899	1.09912	331
2021-05-04 07:35:00	1.09911	1.09933	1.09908	1.09933	197
2021-05-04 07:40:00	1.09934	1.09942	1.09915	1.09924	369
2021-05-04 07:45:00	1.09923	1.0993	1.09874	1.0989	385
2021-05-04 07:50:00	1.09889	1.0992	1.09884	1.09913	212
2021-05-04 07:55:00	1.09912	1.09914	1.09879	1.09888	291
2021-05-04 08:00:00	1.09889	1.09899	1.09874	1.09898	167
2021-05-04 08:05:00	1.09898	1.09907	1.09869	1.09869	367
2021-05-04 08:10:00	1.09869	1.09869	1.09814	1.09838	363
2021-05-04 08:15:00	1.09839	1.09881	1.09832	1.09868	419
2021-05-04 08:20:00	1.09868	1.09896	1.09835	1.09841	316
2021-05-04 08:25:00	1.09841	1.0989	1.09841	1.09871	173
2021-05-04 08:30:00	1.09872	1.09888	1.09871	1.09883	140
2021-05-04 08:35:00	1.09884	1.09886	1.09865	1.09865	149
2021-05-04 08:40:00	1.09864	1.09864	1.09837	1.09838	172
2021-05-04 08:45:00	1.09838	1.0988	1.09838	1.09868	233
2021-05-04 08:50:00	1.09869	1.09871	1.09826	1.09844	352
2021-05-04 08:55:00	1.09845	1.09864	1.0983	1.09861	329
2021-05-04 09:00:00	1.09862	1.09899	1.09856	1.09887	565
2021-05-04 09:05:00	1.09886	1.09912	1.09873	1.09905	354
2021-05-04 09:10:00	1.09904	1.09912	1.0988	1.09905	393
2021-05-04 09:15:00	1.09903	1.09927	1.09884	1.0991	236
2021-05-04 09:20:00	1.09912	1.09926	1.09882	1.09904	322
2021-05-04 09:25:00	1.09904	1.09906	1.09895	1.09905	192
2021-05-04 09:30:00	1.09905	1.09915	1.09872	1.09878	267
